skz,name,street,zip,city,phone,email,website,principal,school_type
2145,Praxisvolksschule der Pädagogischen Hochschule in Wien (910660) Wien,Grenzackerstraße 18,1100,Wien,01/60118-6100,,www.phwien.ac.at/praxisvolksschule,,"Volksschule, Grundbildung"
2159,Bundesrealgymnasium Wien,Schuhmeierplatz 7,1160,Wien,01/4920819,,www.rg16.at,,AHS
2186,Volksschule Wien,Benedikt-Schellinger-Gasse 1-3,1150,Wien,01/9823403,,www.popper4u.at,,"Volksschule, Grundbildung"
2253,Berufsschule für Maschinen - und Fertigungstechnik Wien,Apollogasse 1,1070,Wien,01/59916-95561,,www.berufundschule.info,,"Berufsschule, Sekundarbildung Oberstufe"
2259,Volksschule Wien,Prinzgasse 3,1226,Wien,01/2825296,,www.blackboard.at/schulen/vsprinzgasse,,"Volksschule, Grundbildung"
2283,"2schule ""VES - Vienna European School - Neue Mittelschule"" der Frau Dr. Sigrid Schauberger Wien",Paulinengasse 16,1180,Wien,01/4704600,,www.ves.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
2339,"Berufsschule für Metalltechnik, Glasbautechnik und Technischer Zeichner Wien",Mollardgasse 87,1060,Wien,01/59916-95620,,www.wiener-berufsschulen.at/MGT,,"Berufsschule, Sekundarbildung Oberstufe"
2360,"Berufsschule für Chemie, Grafik und gestaltende Berufe Wien",Hütteldorfer Straße 7-17,1150,Wien,01/59916-95211,,www.cgg.at,,"Berufsschule, Sekundarbildung Oberstufe"
2392,Neue Mittelschule Wien,Bendagasse 1-2,1230,Wien,01/8898550,,www.bendagasse.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
2411,Sondererziehungsschule Wien,Singrienergasse 19,1120,Wien,01/9794203,,spz.schule.wien.at,,"Sonderschule, Sonderschule, Sekundarbildung Unterstufe, Grundbildung"
2505,Neue Mittelschule Wien,Leipziger Platz 1,1200,Wien,01/3325349,,www.ihs-lp.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
2510,Volksschule Wien,Durchlaufstraße 23,1200,Wien,01/3325922,,www.durchlaufstrasse.schule.wien.at,,"Volksschule, Grundbildung"
2516,Volksschule Wien,Leystraße 34,1200,Wien,01/332 85 52,,www.ley34.at,,"Volksschule, Grundbildung"
2541,Neue Mittelschule Wien,Reisgasse 1,1210,Wien,01/2925357,,www.hs-reisgasse.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
2573,Neue Sportmittelschule Wien,Am Kaisermühlendamm 2,1220,Wien,01/2636990,,www.sms22.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
2640,Bundesgymnasium für Berufstätige Wien,Henriettenplatz 6,1150,Wien,01/8925433,,www.abendgymnasium.at,,AHS
2655,Berufsschule für Elektro- und Veranstaltungstechnik Wien,Mollardgasse 87,1060,Wien,01/59916/95650-95653,,www.bs-evt.at,,"Berufsschule, Sekundarbildung Oberstufe"
2716,Volksschule Wien,Hebbelplatz 2,1100,Wien,01/6041787,,www.schulen.wien.at/schulen/910071,,"Volksschule, Grundbildung"
2775,Volksschule Wien,Marktgasse 31-35,1090,Wien,01/3195205,,www.marktgasse.net,,"Volksschule, Grundbildung"
2782,Neue Mittelschule II Wien,Enkplatz 4,1110,Wien,01/7491771,,www.schulen.wien.at/verwalt/pages/bezirk,,"Neue Mittelschule, Hauptschule, Sekundarbildung Unterstufe"
